ID;Время создания;Введите свой рост в сантиметрах, целое число, без единиц измерения;Введите свой вес в килограммах как целое число, без единиц измерения;Введите среднюю длину своих волос, в сантиметрах, целое число, без единиц измерения;Введите свой пол, выбрав вариант ответа
2013184337;2025-03-22 06:41:13;184;70;10;М
2013184210;2025-03-22 06:40:48;183;101;5;М
2013184300;2025-03-22 06:41:06;186;75;5;М
2013184261;2025-03-22 06:40:58;177;80;19;М
2013184156;2025-03-22 06:40:39;178;100;4;М
2013184267;2025-03-22 06:41:00;187;70;17;М
2013184395;2025-03-22 06:41:23;185;01;2;М
2013184451;2025-03-22 06:41:32;168;50;15;Ж
